K = 2
0.0103783 0.00107 1400
0.0103901 0.00108 364
0.0104017 0.00109 706
0.0104131 0.0011 180
0.0104244 0.00111 579
0.0104355 0.00112 157
0.0104465 0.00113 772
0.0104574 0.00114 186
0.0104674 0.00115 183
0.0104786 0.00116 79
0.0104893 0.00117 93
0.0104997 0.00118 77
0.0105097 0.00119 75
0.0105195 0.0012 80
0.0105289 0.00121 76
0.0105382 0.00122 75
0.0105472 0.00123 76
0.0105559 0.00124 77
0.0105645 0.00125 74
0.0105729 0.00126 74
0.0105811 0.00127 75
0.0105892 0.00128 75
0.0105971 0.00129 78
0.0106048 0.0013 82
0.0106124 0.00131 74
0.0106199 0.00132 76
0.0106272 0.00133 84
0.0106345 0.00134 74
0.0106416 0.00135 81
0.0106486 0.00136 75
0.0106555 0.00137 76
0.0106623 0.00138 79
0.010669 0.00139 89
0.0106757 0.0014 74
0.0106822 0.00141 77
0.0106886 0.00142 78
0.010695 0.00143 78
0.0107013 0.00144 77
0.0107075 0.00145 75
0.0107137 0.00146 74
0.0107197 0.00147 75
0.0107257 0.00148 76
0.0107317 0.00149 74
0.0107376 0.0015 76
0.0107434 0.00151 76
0.0107491 0.00152 75
0.0107548 0.00153 78
0.0107605 0.00154 81
0.0107661 0.00155 76
0.0107716 0.00156 82
0.0107771 0.00157 79
0.0107825 0.00158 75
0.0107879 0.00159 80
0.0107933 0.0016 81
0.0107986 0.00161 74
0.0108038 0.00162 75
0.010809 0.00163 79
0.0108142 0.00164 74
0.0108193 0.00165 75
0.0108244 0.00166 77
0.0108294 0.00167 78
0.0108344 0.00168 78
0.0108394 0.00169 76
0.0108443 0.0017 74
0.0108492 0.00171 76
0.010854 0.00172 80
0.0108589 0.00173 74
0.0108636 0.00174 75
0.0108684 0.00175 110
0.0108731 0.00176 74
0.0108778 0.00177 79
0.0108825 0.00178 77
0.0108871 0.00179 78
0.0108917 0.0018 76
0.0108962 0.00181 76
0.0109008 0.00182 77
0.0109053 0.00183 78
0.0109098 0.00184 74
0.0109142 0.00185 77
0.0109187 0.00186 77
0.0109231 0.00187 76
0.0109274 0.00188 75
0.0109318 0.00189 82
0.0109361 0.0019 74
0.0109404 0.00191 76
0.0109447 0.00192 78
0.0109489 0.00193 77
0.0109532 0.00194 81
0.0109574 0.00195 79
0.0109615 0.00196 76
0.0109657 0.00197 77
0.0109698 0.00198 83
0.010974 0.00199 78
K = 5
0.00270132 0.00019 64353
0.00378525 0.0002 21499
0.00410605 0.00021 20803
0.00433135 0.00022 32128
0.00451553 0.00023 18141
0.00467523 0.00024 12676
0.00490449 0.00025 7660
0.00515227 0.00026 7115
0.00537072 0.00027 4182
0.00559656 0.00028 2986
0.00581159 0.00029 2122
0.00599331 0.0003 1563
0.00615361 0.00031 2700
0.00638378 0.00032 1245
0.00660101 0.00033 1208
0.00678725 0.00034 826
0.00695287 0.00035 860
0.00710352 0.00036 776
0.00724263 0.00037 589
0.00737251 0.00038 452
0.00749479 0.00039 312
0.00764574 0.0004 457
0.00777931 0.00041 370
0.00789945 0.00042 376
0.00800955 0.00043 530
0.00811176 0.00044 373
0.00820758 0.00045 247
0.00829806 0.00046 323
0.00838402 0.00047 199
0.00846607 0.00048 196
0.00854819 0.00049 256
0.00862688 0.0005 197
0.00871689 0.00051 262
0.00880683 0.00052 276
0.00888469 0.00053 187
0.00895433 0.00054 212
0.00901791 0.00055 196
0.00907677 0.00056 254
0.00913184 0.00057 372
0.00918377 0.00058 214
